name	run	timing
benchmark/ssb/benchmarks/sf1/q1.1-t1.benchmark	1	0.029664
benchmark/ssb/benchmarks/sf1/q1.1-t1.benchmark	2	0.030976
benchmark/ssb/benchmarks/sf1/q1.1-t1.benchmark	3	0.029790
benchmark/ssb/benchmarks/sf1/q1.1-t1.benchmark	4	0.030728
benchmark/ssb/benchmarks/sf1/q1.1-t1.benchmark	5	0.030898
benchmark/ssb/benchmarks/sf1/q1.1-t4.benchmark	1	0.008871
benchmark/ssb/benchmarks/sf1/q1.1-t4.benchmark	2	0.009025
benchmark/ssb/benchmarks/sf1/q1.1-t4.benchmark	3	0.008966
benchmark/ssb/benchmarks/sf1/q1.1-t4.benchmark	4	0.009007
benchmark/ssb/benchmarks/sf1/q1.1-t4.benchmark	5	0.008902
benchmark/ssb/benchmarks/sf1/q1.1-t8.benchmark	1	0.006863
benchmark/ssb/benchmarks/sf1/q1.1-t8.benchmark	2	0.005871
benchmark/ssb/benchmarks/sf1/q1.1-t8.benchmark	3	0.006015
benchmark/ssb/benchmarks/sf1/q1.1-t8.benchmark	4	0.005996
benchmark/ssb/benchmarks/sf1/q1.1-t8.benchmark	5	0.006165
benchmark/ssb/benchmarks/sf1/q1.2-t1.benchmark	1	0.026286
benchmark/ssb/benchmarks/sf1/q1.2-t1.benchmark	2	0.025690
benchmark/ssb/benchmarks/sf1/q1.2-t1.benchmark	3	0.025687
benchmark/ssb/benchmarks/sf1/q1.2-t1.benchmark	4	0.026462
benchmark/ssb/benchmarks/sf1/q1.2-t1.benchmark	5	0.026088
benchmark/ssb/benchmarks/sf1/q1.2-t4.benchmark	1	0.007485
benchmark/ssb/benchmarks/sf1/q1.2-t4.benchmark	2	0.007656
benchmark/ssb/benchmarks/sf1/q1.2-t4.benchmark	3	0.007548
benchmark/ssb/benchmarks/sf1/q1.2-t4.benchmark	4	0.007470
benchmark/ssb/benchmarks/sf1/q1.2-t4.benchmark	5	0.007828
benchmark/ssb/benchmarks/sf1/q1.2-t8.benchmark	1	0.005613
benchmark/ssb/benchmarks/sf1/q1.2-t8.benchmark	2	0.005477
benchmark/ssb/benchmarks/sf1/q1.2-t8.benchmark	3	0.005382
benchmark/ssb/benchmarks/sf1/q1.2-t8.benchmark	4	0.005311
benchmark/ssb/benchmarks/sf1/q1.2-t8.benchmark	5	0.005340
benchmark/ssb/benchmarks/sf1/q1.3-t1.benchmark	1	0.021929
benchmark/ssb/benchmarks/sf1/q1.3-t1.benchmark	2	0.021721
benchmark/ssb/benchmarks/sf1/q1.3-t1.benchmark	3	0.021625
benchmark/ssb/benchmarks/sf1/q1.3-t1.benchmark	4	0.021913
benchmark/ssb/benchmarks/sf1/q1.3-t1.benchmark	5	0.021319
benchmark/ssb/benchmarks/sf1/q1.3-t4.benchmark	1	0.006273
benchmark/ssb/benchmarks/sf1/q1.3-t4.benchmark	2	0.006500
benchmark/ssb/benchmarks/sf1/q1.3-t4.benchmark	3	0.006383
benchmark/ssb/benchmarks/sf1/q1.3-t4.benchmark	4	0.008089
benchmark/ssb/benchmarks/sf1/q1.3-t4.benchmark	5	0.006506
benchmark/ssb/benchmarks/sf1/q1.3-t8.benchmark	1	0.004405
benchmark/ssb/benchmarks/sf1/q1.3-t8.benchmark	2	0.004261
benchmark/ssb/benchmarks/sf1/q1.3-t8.benchmark	3	0.004597
benchmark/ssb/benchmarks/sf1/q1.3-t8.benchmark	4	0.006052
benchmark/ssb/benchmarks/sf1/q1.3-t8.benchmark	5	0.004741
benchmark/ssb/benchmarks/sf1/q2.1-t1.benchmark	1	0.053427
benchmark/ssb/benchmarks/sf1/q2.1-t1.benchmark	2	0.057782
benchmark/ssb/benchmarks/sf1/q2.1-t1.benchmark	3	0.053969
benchmark/ssb/benchmarks/sf1/q2.1-t1.benchmark	4	0.053781
benchmark/ssb/benchmarks/sf1/q2.1-t1.benchmark	5	0.053034
benchmark/ssb/benchmarks/sf1/q2.1-t4.benchmark	1	0.019834
benchmark/ssb/benchmarks/sf1/q2.1-t4.benchmark	2	0.017404
benchmark/ssb/benchmarks/sf1/q2.1-t4.benchmark	3	0.017228
benchmark/ssb/benchmarks/sf1/q2.1-t4.benchmark	4	0.016951
benchmark/ssb/benchmarks/sf1/q2.1-t4.benchmark	5	0.017761
benchmark/ssb/benchmarks/sf1/q2.1-t8.benchmark	1	0.013841
benchmark/ssb/benchmarks/sf1/q2.1-t8.benchmark	2	0.012440
benchmark/ssb/benchmarks/sf1/q2.1-t8.benchmark	3	0.012503
benchmark/ssb/benchmarks/sf1/q2.1-t8.benchmark	4	0.013394
